modell,horisont,n,MAE,MAPE
SARIMAX_naiv,4,101,8.240040751873856,0.09483617221670886
SARIMAX_naiv,8,97,11.049302524978131,0.13030640884216846
SARIMAX_naiv,12,93,13.147604967981525,0.15875601722062826
