uke_start,horisont,faktisk,xgb_pred,lgbm_pred,ensemble_pred,residual
2024-03-18,4,106.78,,,,
2024-03-25,4,115.19,,,,
2024-04-01,4,120.04,,,,
2024-04-08,4,123.28,,,,
2024-04-15,4,121.22,109.31691,110.67692177449317,109.99691578226611,11.223084217733884
2024-04-22,4,113.18,103.782845,110.5662585038116,107.17455152363432,6.005448476365686
2024-04-29,4,119.65,102.57861,111.50468025667958,107.0416467689648,12.60835323103521
2024-05-06,4,122.05,106.232925,110.71572841327897,108.474326914159,13.575673085841004
2024-05-13,4,120.83,101.72306,110.79617594164156,106.25961827477586,14.570381725224138
2024-05-20,4,118.07,100.01751,112.68356855022375,106.35053900533649,11.719460994663507
2024-05-27,4,104.9,99.87806,111.28490853930865,105.58148396325782,-0.6814839632578185
2024-06-03,4,92.2,100.0964,112.70507485483002,106.40073612736616,-14.200736127366156
2024-06-10,4,84.87,99.24559,106.44924664052606,102.84741842524348,-17.97741842524347
2024-06-17,4,85.58,103.66072,106.01560879580768,104.8381648105015,-19.258164810501498
2024-06-24,4,79.29,102.38457,104.35087202271444,103.36771964172831,-24.077719641728308
2024-07-01,4,78.24,89.92681,91.62426002749196,90.77553562287684,-12.53553562287685
2024-07-08,4,79.78,83.881905,81.80593706670476,82.84392083437777,-3.063920834377768
2024-07-15,4,81.46,82.07009,81.70454476414889,81.88731800585374,-0.4273180058537491
2024-07-22,4,81.55,81.808914,79.08631721273031,80.44761569865031,1.1023843013496872
2024-07-29,4,81.19,76.256645,76.33111005980187,76.29387763121929,4.896122368780709
2024-08-05,4,80.41,74.69658,75.59524884829442,75.14591391389331,5.264086086106687
2024-08-12,4,80.89,69.80712,76.52281253601501,73.16496690643524,7.725033093564761
2024-08-19,4,76.82,69.53709,79.74208127737343,74.63958388209491,2.1804161179050823
2024-08-26,4,73.93,70.25555,79.0009622467613,74.62825440829276,-0.6982544082927546
2024-09-02,4,73.08,72.50548,77.24761480062527,74.87654635294936,-1.7965463529493633
2024-09-09,4,74.12,71.914665,79.49325839418101,75.70396180817448,-1.5839618081744788
2024-09-16,4,74.57,78.69172,78.36579451388454,78.52875678453016,-3.9587567845301663
2024-09-23,4,73.23,71.204834,73.35376678092355,72.27930038264927,0.950699617350736
