horisont,n,MAE,MAPE,variant
4,100,10.030123733520506,0.11864443014875899,uten_fao
8,96,10.85869470278422,0.12956673131805915,uten_fao
12,92,15.660699917337169,0.19068377089340574,uten_fao
4,100,9.739499591064453,0.11493308541801067,med_fao
8,96,10.548704001108804,0.1265746133093314,med_fao
12,92,16.262559751427688,0.19815593985653465,med_fao
