feature,importance
volum_endring_52u,487
pris_endring_1u,459
usd_endring_4u,449
volum_endring_1u,444
pris_std_4,423
pris_endring_52u,408
eur_usd_ratio,406
pris_std_12,396
volum_endring_4u,378
eur_endring_4u,366
volum_lag_12,359
pris_vs_ma_12,336
pris_endring_4u,330
volum_sum_52u,329
pris_lag_12,308
