feature,mean_abs_shap
pris_lag_1,15.585128548278297
pris_lag_2,4.657979184000514
pris_ma_4,3.802378772251002
volum_sum_12u,2.9731439130414232
pris_lag_4,1.7893668778719336
eur_nok_snitt,1.4560900034365627
uke_sin,1.2732542393413357
pris_vs_ma_12,1.1850651179632345
pris_ma_12,1.184616636980941
uke_cos,0.9846320351300376
