uke_start,horisont,faktisk,xgb_pred,lgbm_pred,ensemble_pred
2024-11-18,4,86.59,76.30372,76.92051311005373,76.61211583847412
2024-11-25,4,89.32,74.74469,82.22030635324221,78.48249814732424
2024-12-02,4,87.46,77.92854,74.69316598906889,76.3108545399446
2024-12-09,4,90.74,84.894424,88.73892178171019,86.81667311009338
2024-12-16,4,92.15,84.894424,90.99990343610874,87.94716393729266
2024-12-23,4,111.82,90.885506,92.27625643014503,91.58088105320728
2024-12-30,4,125.36,92.59769,94.98358172942308,93.7906342485006
2025-01-06,4,117.77,99.2515,98.18834970798959,98.71992634935611
2025-01-13,4,105.08,99.68477,97.23932242268026,98.46204554971904
2025-01-20,4,98.43,100.29478,99.45354366149142,99.87416028899767
2025-01-27,4,94.49,98.0758,98.21855698290561,98.1471775087868
2025-02-03,4,92.18,101.75308,102.36535485521264,102.05921856530163
2025-02-10,4,93.23,103.51331,102.96179096720505,103.23755213033104
2025-02-17,4,92.97,103.51331,108.52403605144234,106.01867467244969
2025-02-24,4,92.67,104.68143,103.12867593865428,103.9050514703037
2025-03-03,4,87.0,101.662834,99.93195736854112,100.7973957680108
2025-03-10,4,88.64,97.28014,94.28514906482793,95.78264640131044
2025-03-17,4,89.09,96.44266,96.89269440032369,96.66767593551342
2025-03-24,4,84.45,96.44266,96.89269440032369,96.66767593551342
2025-03-31,4,76.4,95.96392,99.86754331198102,97.91573195262137
2025-04-07,4,78.56,97.19994,101.34084075858073,99.2703921505306
2025-04-14,4,95.33,95.62188,100.11977645628912,97.87082801696292
2025-04-21,4,89.19,95.75113,91.70809423800452,93.72961169419757
2025-04-28,4,75.35,96.73399,93.58604486024294,95.16001919525819
2025-05-05,4,74.31,82.35446,75.20896181721014,78.781711743566
2025-05-12,4,77.06,81.52906,90.03028302636699,85.77967169506826
2025-05-19,4,75.89,97.01966,99.03572365577638,98.02769230274171
2025-05-26,4,70.42,97.91274,94.76566670124188,96.33920465799399
2025-06-02,4,72.42,79.74782,73.95012679853772,76.8489723958509
2025-06-09,4,82.73,74.376854,73.92927051276823,74.15306222781966
2025-06-16,4,76.33,76.68399,79.33979917193716,78.01189482522639
2025-06-23,4,68.74,73.96243,66.18415346810032,70.07329316471422
2025-06-30,4,70.28,72.26523,66.05539722954263,69.1603127505135
2025-07-07,4,67.29,72.18939,61.65505299338464,66.92222254161419
2025-07-14,4,68.13,81.35873,79.44534125703292,80.40203387924888
2025-07-21,4,65.1,73.002,61.36666421427621,67.18433155782171
2025-07-28,4,60.58,71.59598,59.566684312731454,65.5813310479673
2025-08-04,4,62.05,70.58013,59.85940983443533,65.21977068259852
2025-08-11,4,64.38,72.62328,63.222412575105395,67.92284798066794
