horisont,n,MAE,MAPE,beste_params
4,100,10.45301031801329,0.12287275884234594,"{""subsample"": 0.8, ""reg_lambda"": 0.5, ""reg_alpha"": 0.01, ""num_leaves"": 63, ""n_estimators"": 400, ""min_child_samples"": 20, ""max_depth"": -1, ""learning_rate"": 0.2, ""colsample_bytree"": 0.8}"
8,96,10.901298479694995,0.12931040014329695,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.01, ""num_leaves"": 63, ""n_estimators"": 1000, ""min_child_samples"": 20, ""max_depth"": 8, ""learning_rate"": 0.1, ""colsample_bytree"": 0.5}"
12,92,13.0593047610979,0.16000309522718634,"{""subsample"": 0.6, ""reg_lambda"": 5.0, ""reg_alpha"": 0, ""num_leaves"": 127, ""n_estimators"": 1000, ""min_child_samples"": 50, ""max_depth"": 10, ""learning_rate"": 0.2, ""colsample_bytree"": 0.8}"
