modell,horisont,n,MAE,MAPE
Naiv,4,100,8.510299999999999,0.09816207100356697
Naiv,8,96,13.040104166666667,0.15354109289021867
Naiv,12,92,16.34934782608696,0.19699679928940622
SARIMA,4,104,22.184638289932384,0.27941876187566694
SARIMA,8,104,22.184638289932384,0.27941876187566694
SARIMA,12,104,22.184638289932384,0.27941876187566694
XGBoost,4,100,11.463597602844239,0.13684465164090936
XGBoost,8,96,12.591425317128499,0.15102948644770955
XGBoost,12,92,14.787626412433125,0.1814005530122656
