modell,Naiv,Naiv,SARIMA,SARIMA,XGBoost,XGBoost
,MAE,MAPE,MAE,MAPE,MAE,MAPE
horisont,,,,,,
4,8.510299999999999,0.09816207100356697,22.184638289932384,0.27941876187566694,11.463597602844239,0.13684465164090936
8,13.040104166666667,0.15354109289021867,22.184638289932384,0.27941876187566694,12.591425317128499,0.15102948644770955
12,16.34934782608696,0.19699679928940622,22.184638289932384,0.27941876187566694,14.787626412433125,0.1814005530122656
