modell,n_resid,ljungbox_lag10_p,ljungbox_lag20_p,ljungbox_lag52_p,jb_stat,jb_p,skew,kurtosis
SARIMA,689,0.004271219096217079,0.0021555739909548057,1.0686420544449004e-06,75.1027285250388,4.9164283333965667e-17,0.2375057320588443,4.546099711799823
SARIMAX,689,0.00919935793706473,0.003950327476944812,1.5606405109062424e-06,68.1362460860889,1.601039893977537e-15,0.27646024665414837,4.437941242944642
