modell,horisont,nominell,n,dekning,gj_bredde
SARIMA,4,0.95,101,0.7920792079207921,26.121562756001946
SARIMA,8,0.95,97,0.8041237113402062,37.38967423641079
SARIMA,12,0.95,93,0.8064516129032258,45.97819374923656
SARIMAX,4,0.95,101,0.8118811881188119,26.18870553148435
SARIMAX,8,0.95,97,0.8144329896907216,37.50215832121301
SARIMAX,12,0.95,93,0.8172043010752689,46.123157039098416
