horisont,modell,n,MAE,MAPE
4,XGBoost+ES,100,8.713001177978516,0.10110351396594229
4,LightGBM+ES,100,8.84741264426523,0.10380147954374964
4,Ensemble,100,8.326362074322773,0.09641391994470325
8,XGBoost+ES,96,10.880381158192952,0.12878378113378838
8,LightGBM+ES,96,11.531864301138436,0.13733302614700663
8,Ensemble,96,10.846194160805519,0.1287192848109959
12,XGBoost+ES,92,15.305849557959517,0.18727984671993236
12,LightGBM+ES,92,13.24494054897777,0.16252392957232265
12,Ensemble,92,13.560990107941347,0.16668090388195506
