feature,mean_abs_shap
pris_lag_1,9.92976181636746
pris_ma_4,8.481117772409982
uke_cos,3.1960922249498585
pris_ma_12,3.0883927573194794
fao_imputert,2.3985839529595006
volum_lag_12,2.1565659299230915
volum_sum_52u,2.1098654739882394
pris_lag_2,1.6893131497123857
volum_sum_12u,1.4545110828616685
fao_global_atlantisk_tonn,1.0492995169851955
