feature,importance
eur_endring_4u,785
pris_endring_1u,752
volum_endring_4u,722
volum_endring_1u,719
pris_std_4,700
volum_endring_52u,695
usd_endring_4u,667
pris_endring_52u,650
pris_endring_4u,646
eksport_volum_tonn,622
volum_lag_4,612
pris_std_12,600
volum_lag_12,572
pris_vs_ma_12,503
volum_sum_4u,468
