uke_start,yhat,yhat_low,yhat_high
2024-04-08,106.94698262446396,93.8787953478603,120.01516990106761
2024-04-15,108.1171273035795,95.04894002708828,121.18531458007071
2024-04-22,117.85257723074986,104.7843899542889,130.92076450721083
2024-04-29,122.29847555136958,109.23028827491655,135.3666628278226
2024-05-06,125.56441311224913,112.49622583579838,138.63260038869987
2024-05-13,119.92892121012686,106.86073393367657,132.99710848657713
2024-05-20,109.67757708238817,96.60938980593816,122.74576435883817
2024-05-27,118.620616507422,105.55242923097191,131.6888037838721
2024-06-03,120.59819578190353,107.53000850545357,133.6663830583535
2024-06-10,118.76744115713925,105.69925388068917,131.83562843358933
2024-06-17,115.53634303401981,102.46815575756986,128.60453031046976
2024-06-24,99.44308130927175,86.37489403282167,112.51126858572182
2024-07-01,86.90945839229796,73.84127111584802,99.97764566874791
2024-07-08,82.17351952797227,69.1053322515222,95.24170680442235
2024-07-15,83.32937738555513,70.26119010910519,96.39756466200508
2024-07-22,72.38379461272596,59.31560733627589,85.45198188917604
2024-07-29,73.01980148657813,59.951614210128184,86.08798876302808
2024-08-05,73.22563810161421,60.15745082516413,86.29382537806428
2024-08-12,76.4752572059078,63.40706992945785,89.54344448235774
2024-08-19,77.56610457561828,64.49791729916821,90.63429185206836
2024-08-26,76.88115154871737,63.81296427226742,89.94933882516732
2024-09-02,76.84321677641833,63.775029499968255,89.9114040528684
2024-09-09,79.20373816700793,66.13555089055798,92.27192544345787
2024-09-16,75.14274717931272,62.074559902862646,88.2109344557628
2024-09-23,74.48896740513699,61.42078012868704,87.55715468158694
2024-09-30,75.32403905558179,62.25585177913172,88.39222633203187
2024-10-07,77.441083015383,64.37289573893305,90.50927029183295
2024-10-14,77.81144991549084,64.74326263904076,90.87963719194092
2024-10-21,74.44417135475038,61.375984078300434,87.51235863120033
2024-10-28,69.33738218090984,56.269194904459766,82.40556945735992
2024-11-04,73.3958806293361,60.32769335288615,86.46406790578605
2024-11-11,76.43548338738741,63.36729611093733,89.50367066383748
2024-11-18,81.54657410012382,68.47838682367387,94.61476137657377
2024-11-25,81.82736592740667,68.75917865095663,94.89555320385672
2024-12-02,83.18758526450075,70.11939798805214,96.25577254094937
2024-12-09,88.5126631893122,75.44447591292129,101.58085046570312
2024-12-16,91.96323846181177,78.89505119488976,105.03142572873378
2024-12-23,95.88951623517201,82.82188845510322,108.9571440152408
2024-12-30,94.57171714150219,81.50794415868648,107.6354901243179
2025-01-06,96.3773859749393,83.3161381539319,109.4386337959467
2025-01-13,94.32615783958224,81.26781586055966,107.38449981860481
2025-01-20,112.93169621359077,99.8739982823581,125.98939414482344
2025-01-27,124.05501599260633,110.99749019679312,137.11254178841952
2025-02-03,115.25895859524351,102.20147885669888,128.31643833378814
2025-02-10,107.71321665274209,94.65574924108368,120.7706840644005
2025-02-17,105.08753410726074,92.03006999506067,118.1449982194608
2025-02-24,100.72357700797265,87.66611377893592,113.78104023700938
2025-03-03,97.82778811201618,84.77032511937644,110.88525110465592
2025-03-10,95.14660893872602,82.08914600936299,108.20407186808904
2025-03-17,92.79035975037239,79.7328968379466,105.84782266279818
2025-03-24,92.85543785202249,79.79797494413043,105.91290075991455
2025-03-31,87.78667210470722,74.7292091980286,100.84413501138584
2025-04-07,92.21170770477026,79.15424479841656,105.26917061112397
